txn_id,timestamp,txn_type,amount,source_account,dest_account,status,ip_address,device_id,label
TX434001,2025-06-30T13:25:49.697505,UPI,93640.9,AC022,AC008,Failed,192.168.32.76,web,normal
TX465453,2025-07-05T13:25:49.695719,MANDATE,20331.95,AC034,AC029,Pending,192.168.172.140,web,normal
TX735416,2025-06-30T13:25:49.701271,MANDATE,157067.18,AC035,AC014,Success,192.168.200.29,web,normal
TX451343,2025-06-22T13:25:49.699035,NEFT,434369.29,AC048,AC044,Success,192.168.98.71,mobile,normal
TX484122,2025-06-24T13:25:49.686932,UPI,1729889.88,AC005,AC016,Success,10.10.173.108,mobile,fraud
TX484261,2025-07-10T13:25:49.686624,CHEQUE,1938003.02,AC037,AC030,Success,10.10.128.181,mobile,fraud
TX836473,2025-07-05T13:25:49.690125,NEFT,147601.78,AC003,AC032,Success,192.168.20.108,tablet,normal
TX182458,2025-06-20T13:25:49.672400,UPI,1203737.27,AC015,AC028,Success,10.10.247.83,mobile,fraud
TX285952,2025-06-24T13:25:49.684363,CHEQUE,896348.15,AC016,AC034,Failed,10.10.29.243,mobile,fraud
TX685421,2025-06-27T13:25:49.695640,MANDATE,349476.33,AC034,AC009,Pending,192.168.47.172,mobile,normal
TX295742,2025-07-14T13:25:49.693503,UPI,353508.8,AC001,AC033,Success,192.168.94.183,web,normal
TX171796,2025-07-12T13:25:49.700639,UPI,203474.83,AC049,AC036,Failed,192.168.8.134,web,normal
TX588571,2025-06-19T13:25:49.698247,CHEQUE,497306.65,AC014,AC043,Failed,192.168.89.180,mobile,normal
TX951577,2025-06-23T13:25:49.697486,UPI,87140.26,AC001,AC001,Pending,192.168.214.136,mobile,normal
TX678245,2025-07-14T13:25:49.687843,NEFT,23799.2,AC011,AC030,Failed,192.168.60.46,web,normal
TX655580,2025-07-01T13:25:49.698704,UPI,41240.89,AC003,AC017,Pending,192.168.243.238,mobile,normal
TX188353,2025-07-05T13:25:49.698549,MANDATE,308802.07,AC033,AC050,Failed,192.168.23.63,mobile,normal
TX119027,2025-07-10T13:25:49.685377,UPI,1349247.28,AC040,AC006,Pending,10.10.73.223,mobile,fraud
TX853489,2025-06-24T13:25:49.703024,CHEQUE,17124.2,AC019,AC009,Pending,192.168.49.201,web,normal
TX986322,2025-07-13T13:25:49.695203,CHEQUE,265233.96,AC020,AC027,Pending,192.168.191.188,tablet,normal
TX887178,2025-06-22T13:25:49.679998,CHEQUE,1276918.22,AC034,AC036,Success,10.10.64.241,tablet,fraud
TX203326,2025-07-13T13:25:49.700434,UPI,231440.19,AC014,AC018,Pending,192.168.83.140,web,normal
TX751834,2025-06-23T13:25:49.702763,NEFT,187176.08,AC041,AC009,Pending,192.168.110.91,web,normal
TX373937,2025-06-30T13:25:49.689939,UPI,460416.75,AC028,AC007,Success,192.168.187.137,mobile,normal
TX892959,2025-07-13T13:25:49.686431,UPI,1301475.55,AC041,AC007,Pending,10.10.108.93,tablet,fraud
TX809787,2025-07-14T13:25:49.694554,NEFT,433929.73,AC009,AC048,Failed,192.168.185.155,tablet,normal
TX630705,2025-07-11T13:25:49.675368,UPI,1063229.96,AC030,AC022,Pending,10.10.24.225,tablet,fraud
TX158174,2025-07-02T13:25:49.701773,MANDATE,295849.42,AC023,AC009,Success,192.168.183.243,web,normal
TX779400,2025-07-12T13:25:49.700165,CHEQUE,401637.47,AC010,AC040,Failed,192.168.11.249,mobile,normal
TX746599,2025-07-13T13:25:49.674980,CHEQUE,884745.79,AC020,AC034,Pending,10.10.130.31,tablet,fraud
TX928704,2025-06-23T13:25:49.678788,CHEQUE,919164.4,AC013,AC001,Failed,10.10.217.208,mobile,fraud
TX792922,2025-07-14T13:25:49.680101,UPI,1350533.91,AC031,AC018,Failed,10.10.206.183,mobile,fraud
TX644287,2025-07-09T13:25:49.677639,UPI,1429594.52,AC020,AC046,Pending,10.10.0.32,tablet,fraud
TX881641,2025-07-18T13:25:49.699780,MANDATE,409326.96,AC037,AC014,Failed,192.168.85.64,mobile,normal
TX252475,2025-07-06T13:25:49.695969,UPI,488939.62,AC045,AC002,Failed,192.168.233.154,tablet,normal
TX316078,2025-07-04T13:25:49.695449,NEFT,161330.05,AC029,AC031,Failed,192.168.2.64,web,normal
TX565682,2025-06-24T13:25:49.684436,CHEQUE,1212377.22,AC026,AC036,Pending,10.10.49.161,tablet,fraud
TX387497,2025-06-30T13:25:49.692132,MANDATE,367780.8,AC001,AC045,Pending,192.168.204.147,web,normal
TX425062,2025-07-08T13:25:49.699163,UPI,289618.95,AC032,AC047,Failed,192.168.100.56,web,normal
TX463631,2025-07-15T13:25:49.692669,MANDATE,350089.05,AC013,AC019,Failed,192.168.200.79,web,normal
TX659416,2025-07-07T13:25:49.678421,UPI,804831.2,AC018,AC027,Success,10.10.204.49,tablet,fraud
TX416151,2025-06-26T13:25:49.695006,MANDATE,319616.6,AC027,AC015,Success,192.168.190.1,web,normal
TX194939,2025-06-21T13:25:49.688408,CHEQUE,455851.49,AC045,AC047,Pending,192.168.234.109,mobile,normal
TX858051,2025-07-10T13:25:49.674964,UPI,1247405.21,AC009,AC045,Success,10.10.163.2,tablet,fraud
TX660903,2025-07-05T13:25:49.698827,MANDATE,102343.5,AC031,AC001,Success,192.168.138.247,tablet,normal
TX804242,2025-07-17T13:25:49.681086,UPI,1544582.81,AC015,AC049,Pending,10.10.124.67,tablet,fraud
TX753941,2025-07-09T13:25:49.675107,UPI,1828478.32,AC004,AC032,Pending,10.10.203.2,mobile,fraud
TX896311,2025-06-18T13:25:49.664518,UPI,1997704.69,AC029,AC050,Failed,10.10.13.178,tablet,fraud
TX753151,2025-06-22T13:25:49.703521,UPI,357797.66,AC020,AC045,Success,192.168.135.141,mobile,normal
TX787439,2025-06-24T13:25:49.684456,UPI,1519156.99,AC013,AC025,Failed,10.10.145.109,tablet,fraud
TX663029,2025-07-07T13:25:49.695462,UPI,24794.49,AC027,AC027,Failed,192.168.45.211,mobile,normal
TX549100,2025-06-26T13:25:49.674329,UPI,852012.4,AC025,AC010,Success,10.10.13.148,tablet,fraud
TX404589,2025-06-28T13:25:49.693086,UPI,473588.96,AC042,AC048,Success,192.168.111.241,tablet,normal
TX893876,2025-06-29T13:25:49.687507,CHEQUE,393984.33,AC038,AC010,Failed,192.168.211.136,web,normal
TX699057,2025-07-15T13:25:49.703394,NEFT,240760.21,AC047,AC033,Success,192.168.133.164,tablet,normal
TX904328,2025-07-01T13:25:49.693487,NEFT,328752.07,AC002,AC020,Success,192.168.247.124,web,normal
TX770558,2025-07-09T13:25:49.689202,CHEQUE,222597.15,AC006,AC013,Failed,192.168.153.99,tablet,normal
TX782042,2025-07-06T13:25:49.686493,UPI,1463579.88,AC003,AC019,Failed,10.10.101.168,tablet,fraud
TX374534,2025-07-02T13:25:49.700109,NEFT,220833.61,AC024,AC047,Success,192.168.86.22,mobile,normal
TX902498,2025-06-29T13:25:49.691699,CHEQUE,122606.66,AC021,AC007,Failed,192.168.99.176,tablet,normal
TX963925,2025-06-30T13:25:49.694657,MANDATE,292077.36,AC025,AC002,Failed,192.168.194.213,tablet,normal
TX292432,2025-07-02T13:25:49.675476,CHEQUE,1343804.94,AC016,AC023,Success,10.10.205.248,tablet,fraud
TX323763,2025-06-21T13:25:49.678463,CHEQUE,1331693.44,AC035,AC035,Failed,10.10.136.92,tablet,fraud
TX291805,2025-06-27T13:25:49.683625,CHEQUE,934171.78,AC021,AC015,Success,10.10.242.240,mobile,fraud
TX296985,2025-07-17T13:25:49.696382,CHEQUE,445452.79,AC007,AC047,Success,192.168.187.108,tablet,normal
TX292178,2025-07-09T13:25:49.688374,UPI,212833.63,AC021,AC015,Pending,192.168.160.99,web,normal
TX927899,2025-06-20T13:25:49.681517,CHEQUE,1915597.98,AC024,AC041,Success,10.10.184.120,mobile,fraud
TX840718,2025-06-28T13:25:49.693423,NEFT,363292.93,AC007,AC040,Success,192.168.246.138,web,normal
TX140790,2025-07-03T13:25:49.693387,UPI,370743.78,AC021,AC010,Pending,192.168.101.8,tablet,normal
TX490499,2025-07-06T13:25:49.678746,CHEQUE,1652907.0,AC011,AC001,Pending,10.10.16.209,tablet,fraud
TX667890,2025-06-30T13:25:49.699386,NEFT,147127.59,AC023,AC022,Failed,192.168.40.40,web,normal
TX668610,2025-07-14T13:25:49.692971,MANDATE,333947.74,AC019,AC032,Pending,192.168.238.80,tablet,normal
TX397316,2025-06-23T13:25:49.701549,MANDATE,217940.48,AC040,AC041,Pending,192.168.35.226,mobile,normal
TX130759,2025-06-27T13:25:49.672645,UPI,862097.91,AC012,AC032,Success,10.10.120.121,mobile,fraud
TX362180,2025-07-09T13:25:49.697568,NEFT,7550.76,AC050,AC047,Success,192.168.8.246,tablet,normal
TX674916,2025-06-28T13:25:49.685100,CHEQUE,1455695.2,AC024,AC036,Success,10.10.35.198,mobile,fraud
TX667314,2025-06-29T13:25:49.694273,UPI,163846.57,AC038,AC004,Success,192.168.234.40,tablet,normal
TX109965,2025-07-05T13:25:49.703039,NEFT,405802.01,AC043,AC006,Success,192.168.217.145,mobile,normal
TX873704,2025-07-17T13:25:49.674881,UPI,1027111.62,AC017,AC018,Success,10.10.207.79,mobile,fraud
TX518787,2025-06-21T13:25:49.668623,UPI,1919654.63,AC037,AC005,Failed,10.10.230.161,mobile,fraud
TX825379,2025-07-05T13:25:49.698882,CHEQUE,426827.87,AC025,AC025,Success,192.168.206.205,mobile,normal
